0,1,2,3,4,5,,,,,,,,,,,,
18,16,80,82,82,"(26739, 8)",,,,,,,,,,,,
18,17,60,60,60,"(48203, 8)",,,,,,,,,,,,
18,18,52,63,69,"(268, 16)",,,,,,,,,,,,
19,1,80,81,82,"(26611, 8)",,43,47,48,,80,81,82,,62.66666667,64.33333333,65.38888889
19,2,70,70,70,"(34600, 4)",,,,,,,,,,,,
19,3,61,62,62,"(6924, 16)",,,,,,,,,,,,
19,4,71,71,71,"(15741, 4)",,,,,,,,,,,,
19,5,67,70,71,"(15866, 8)",,,,,,,,,,,,
19,6,48,49,51,"(11105, 16)",,,,,,,,,,,,
19,7,67,67,67,"(58525, 4)",,,,,,,,,,,,
19,8,77,79,81,"(16151, 12)",,,,,,,,,,,,
19,9,60,64,66,"(4106, 12)",,,,,,,,,,,,
19,10,65,66,66,"(2337, 4)",,,,,,,,,,,,
19,11,70,72,75,"(38403, 12)",,,,,,,,,,,,
19,12,49,50,51,"(4140, 24)",,,,,,,,,,,,
19,14,47,50,51,"(25929, 24)",,,,,,,,,,,,
19,15,56,57,59,"(12893, 8)",,,,,,,,,,,,
19,16,75,78,79,"(22213, 8)",,,,,,,,,,,,
19,17,70,71,72,"(22645, 12)",,,,,,,,,,,,
19,18,52,54,55,"(12823, 8)",,,,,,,,,,,,
19,19,43,47,48,"(8772, 19)",,,,,,,,,,,,
20,2,62,64,64,"(36379, 16)",,37,37,37,,77,79,79,,64.05555556,65.44444444,66.33333333
20,3,67,67,67,"(9226, 16)",,,,,,,,,,,,
20,4,76,78,79,"(33947, 8)",,,,,,,,,,,,
20,5,67,67,67,"(35384, 4)",,,,,,,,,,,,
20,6,47,49,50,"(7265, 20)",,,,,,,,,,,,
20,7,75,79,79,"(20506, 7)",,,,,,,,,,,,
20,8,62,62,63,"(28662, 8)",,,,,,,,,,,,
20,9,76,78,78,"(35666, 4)",,,,,,,,,,,,
20,10,49,52,53,"(12144, 20)",,,,,,,,,,,,
20,11,66,68,71,"(10236, 20)",,,,,,,,,,,,
20,12,62,62,62,"(41540, 8)",,,,,,,,,,,,
20,13,51,53,54,"(18235, 12)",,,,,,,,,,,,
20,14,66,69,72,"(5928, 12)",,,,,,,,,,,,
20,15,77,78,79,"(18405, 8)",,,,,,,,,,,,
20,16,75,75,75,"(49890, 4)",,,,,,,,,,,,
20,17,66,67,68,"(12768, 8)",,,,,,,,,,,,
20,19,37,37,37,"(16778, 4)",,,,,,,,,,,,
20,20,72,73,76,"(14671, 12)",,,,,,,,,,,,
