,,,,,,,min,min,min,,max,max ,max,,avg,avg,avg,,,,,,,,,,,,,
15,14,19,29,38,"(5928, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
15,15,24,47,54,"(15945, 27)",,,,,,,,,,,,,,,,,,,,,,,,,
16,1,39,59,62,"(24339, 8)",,19,29,36,,43,61,68,,33.66666667,43.26666667,49.4,,,,,,,,,,,,,
16,2,41,45,46,"(4333, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
16,3,29,43,61,"(57362, 4)",,,,,,,,,,,,,,,,,,,,,,,,,
16,4,39,61,68,"(20123, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
16,5,27,35,36,"(613, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
16,6,39,45,50,"(22693, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
16,7,39,42,43,"(10279, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
16,8,29,46,64,"(3254, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
16,9,43,45,45,"(7265, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
16,10,19,33,39,"(38403, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
16,11,21,36,42,"(10423, 11)",,,,,,,,,,,,,,,,,,,,,,,,,
16,12,34,45,53,"(37035, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
16,13,41,44,45,"(4140, 24)",,,,,,,,,,,,,,,,,,,,,,,,,
16,14,29,29,44,"(4106, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
16,15,36,41,43,"(13399, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
17,1,38,46,50,"(6840, 20)",,11,23,23,,71,91,91,,33.25,43.25,50.5625,,,,,,,,,,,,,
17,3,40,40,50,"(37035, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
17,4,35,40,46,"(20191, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
17,5,71,91,91,"(46441, 3)",,,,,,,,,,,,,,,,,,,,,,,,,
17,6,29,40,50,"(2707, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
17,7,41,43,45,"(41540, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
17,8,20,31,52,"(7265, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
17,9,27,41,56,"(10236, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
17,10,11,23,23,"(2232, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
17,11,43,50,51,"(15261, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
17,12,31,47,59,"(5928, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
17,13,46,53,54,"(64391, 4)",,,,,,,,,,,,,,,,,,,,,,,,,
17,14,26,36,45,"(36379, 16)",,,,,,,,,,,,,,,,,,,,,,,,,
17,15,19,32,39,"(15478, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
17,16,29,38,51,"(27441, 8)",,,,,,,,,,,,,,,,,,,,,,,,,
17,17,26,41,47,"(545, 12)",,,,,,,,,,,,,,,,,,,,,,,,,
18,1,30,31,44,"(35654, 8)",,8,31,40,,51,63,71,,32.94117647,43.29411765,51.82352941,,,,,,,,,,,,,
18,2,8,33,56,"(3225, 24)",,,,,,,,,,,,,,,,,,,,,,,,,
18,3,33,46,48,"(5412, 20)",,,,,,,,,,,,,,,,,,,,,,,,,
