Id;Expendedor;Latitud;Longitud;Azules;Laborales
173;CASTELICHE;37,99493736;-1,132251009;0;0
172;COMUNEROS;37,98294589;-1,122864638;0;0
171;CORREGIDOR PUEYO;37,99260837;-1,127466568;0;0
170;AVENIDA DE LA FLOTA;37,99268768;-1,124783795;0;0
169;ALONSO ESPEJO;37,99631932;-1,129539975;0;0
168;MARQUES DE LOS VELEZ;37,99485325;-1,130482141;0;0
167;BUENOS LIBROS;37,99470396;-1,130803153;0;0
166;BUENOS LIBROS;37,99491059;-1,130981829;0;0
165;SIERRA DEL ESPARTAL;37,99604163;-1,136846288;0;0
164;TRAV. MAR MENOR;37,99485466;-1,136902653;0;0
163;SIERRA DEL ESPARTAL;37,99528703;-1,137058925;0;0
162;MAR MENOR;37,99530762;-1,136631224;0;0
161;PICO DE LA PANOCHA;37,99350397;-1,137424673;0;0
