0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
,,,0.088952,,,,,,,,,,,,0.045928,
0.05329,,,,,,,,,,,,,,,,0.064725
,,0.098946,,,0.083674,,,,,,,,,,,
,,,,,,,,,,,0.035031,,,,,0.057622
,,,,,,,,,,,,,0.039488,,0.036539,
,,,,,0.076565,,,,,,,,,,,
,,,,,,0.096821,,,,,,,0.034287,,,
,,,,,,,,,,,0.025863,,,,0.030976999999999998,0.048969
,,,,0.067151,,,,,,,0.019968,,,,,
0.027742000000000003,,,,,0.057540999999999995,,,,,,,,,,,0.037794
0.023857,,,0.049696,,,,,,,,,,,0.018807,,
,,,0.04495,,,,,,,,,,,,,
,,0.050324,,,0.048126,,,,,,,,,,,
,0.043503,,,,,,,,,,,,,0.012244,,
,,,,0.039613,,,,,,,,,,,,
,0.02828,,,,0.034913,,,,,0.0091526,,,,,,
,,,,,,,,,,,,,,,,
,0.028736,,,,,,0.034741,,,,,0.003557,,,0.0032183999999999997,0.01624
,,,,,,,0.033069,,0.016146999999999998,,,,,,,0.012619
,,,,,,,,,,,,,,,,
,,,,,,,,,,,0.18342,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,0.26848,,,,,0.24556,
,,,,,,,,,,,,,,,,
0.41531999999999997,,,,,,,,,0.33597,,,,,,,
,,,,,,,,,,,,,0.25438,0.24554,,
,0.48552,,,,,,,,,,0.28257,,,,,
,,,,,,,0.44123,,,0.31563,,,,,,
,,,,,,,,,,,,0.33599,,,,
,,,,0.48993000000000003,,,0.46297,,,,,,,0.28522,,
0.48433999999999994,,,,,,,0.46299999999999997,,,,,,,,,
,,,,,,,,,,,,0.34009,,,,
,,,,,,,,,,,,,0.29219,,,0.30782
,,,,,,,,,,,,,,0.2985,,
,,,,,,,,,,,,,,,,
,,,,0.53374,,,,0.48854,,,,,,,,
,,,,,0.54273,0.5754199999999999,,,,,0.35286999999999996,,,0.3352,0.33825,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,0.58386,,,,,,,,,,,,,
,,,,,0.57613,,0.52379,,,,,,,,,
,,,,0.55062,,,,,,,,,,,,
,,,,,,,,,,,,,,0.39611999999999997,,
,,,0.6210100000000001,,,,,,,0.45497,,,,,,
,0.68567,,,,,,,,,0.47034,0.42998000000000003,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,0.61134,,0.5332100000000001,,,,0.50822,,
