"date";"IDdevice";"tintMean";"tintSd";"timesOn";"tsetMean";"tsetSd"
"2016-12-23";322963200;25.6423611111111;2.17877812235416;27;24;0
"2016-12-23";322963208;23.7565217391304;2.37804764514789;52;23.4038461538462;0.602596193105882
"2016-12-23";322963214;24;2.82598777360266;25;23;0
"2016-12-23";322963218;24.5890410958904;3.46742721451434;5;23;0
"2016-12-23";322963222;24.5760869565217;3.12682190622672;38;28;0
"2016-12-23";322963226;24.7520325203252;2.82507361266331;47;29;0
"2016-12-23";322963232;24.989010989011;2.77786690943691;18;25.2222222222222;0.427792631946499
"2016-12-23";322963256;25.9105263157895;3.37463863106223;25;25;0
"2016-12-23";322963264;25.6075268817204;3.09790379896456;19;25;0
"2016-12-23";322963278;23.6586206896552;2.10464388010632;14;25;0
"2016-12-24";322963022;23.9;2.69567554922076;3;23;0
"2016-12-26";322962926;23.2352941176471;2.97523947118101;16;23;0
"2016-12-26";322962996;23.5769230769231;2.77738116826736;11;25;0
"2016-12-26";322963042;24.375;2.73535059126666;4;25;0
"2016-12-26";322963226;23.7352941176471;2.93679709608967;25;29;0
"2016-12-26";322963246;26.1756756756757;3.16714078954201;7;29;0
"2016-12-27";322962836;24.0555555555556;2.69773567603977;6;23;0
"2016-12-27";322962844;25.9565217391304;1.94768535982318;19;26;0
"2016-12-27";322962872;22.8135593220339;2.29485613906546;13;27;0
"2016-12-27";322962926;23.2794117647059;2.52919671182969;10;23;0
"2016-12-27";322962936;23.7;1.27366487830285;9;25.5555555555556;0.881917103688197
"2016-12-27";322962954;25.1;2.5518159623849;14;24;0
"2016-12-27";322962956;26.975;2.69603222228328;24;28;0
"2016-12-27";322962972;27.1190476190476;2.76257551228772;24;28;0
"2016-12-27";322962996;25.7987012987013;2.33009450375852;55;24.0909090909091;1.37803842435177
"2016-12-27";322963006;26.4142857142857;2.49848693708611;28;27;0
"2016-12-27";322963020;26.3068181818182;2.53399195381266;23;27.9130434782609;0.28810406552003
"2016-12-27";322963038;25.75;2.20068699632954;23;26;0
"2016-12-27";322963040;25.2636363636364;2.79525813002449;31;25;0
"2016-12-27";322963080;26.1944444444444;2.16226659443206;24;27;0
"2016-12-27";322963104;25.0272727272727;2.63772169827974;23;26.1764705882353;0.392952623996688
"2016-12-27";322963106;27.1;2.07650292722636;34;29;0
"2016-12-27";322963122;26.0671641791045;2.42914051764302;37;26.5945945945946;1.16570101606667
"2016-12-27";322963124;26.4210526315789;1.98383978706746;24;26;0
"2016-12-27";322963148;23.25;1.72271353842822;22;25;0
"2016-12-27";322963166;24.6153846153846;2.36426385789395;5;25;0
"2016-12-27";322963174;22.3103448275862;2.33534103162475;5;25;0
"2016-12-27";322963192;23.8333333333333;2.37170824512628;3;23;0
"2016-12-27";322963200;23.8206896551724;1.99450274197341;24;25;0
"2016-12-27";322963208;23.0909090909091;2.52321754794516;30;25.6666666666667;0.758098043578903
"2016-12-27";322963222;25.1179245283019;3.58538826136389;29;28;0
"2016-12-27";322963226;25.3370786516854;2.87304803390184;47;29;0
"2016-12-27";322963228;25.156976744186;3.46856609456905;5;26;0
"2016-12-27";322963244;25.48;3.73687602473542;18;28;0
"2016-12-27";322963246;26.0421686746988;3.53657269952234;18;29;0
"2016-12-27";322963250;27.4741379310345;1.87181873699085;7;28.8571428571429;0.377964473009227
"2016-12-27";322963252;27.4827586206897;1.79659892438458;7;28.8571428571429;0.377964473009227
"2016-12-28";322962836;23.4545454545455;2.31791442308108;8;23;0
"2016-12-28";322962844;26.2962962962963;1.79346709379465;21;26;0
"2016-12-28";322962872;23.6693548387097;2.80067841369612;20;27;0
"2016-12-28";322962874;23.2534246575342;2.81504303261863;20;27;0
"2016-12-28";322962926;23.7647058823529;2.99018000638561;9;23;0
"2016-12-28";322962954;25.8333333333333;2.90164440100524;15;24;0
"2016-12-28";322962956;26.90625;2.32946588090974;24;28;0
"2016-12-28";322962972;27.46875;2.17736708419936;24;28;0
"2016-12-28";322962996;24.2786885245902;2.76514705781919;32;21;0
"2016-12-28";322963006;26.4027777777778;2.04177599318564;19;27.6842105263158;0.477566932940919
"2016-12-28";322963010;26.4242424242424;2.69003140119106;15;29;0
"2016-12-28";322963016;26.1176470588235;2.80707661890178;17;29;0
