3_1,4_1,4_2,5_1,5--3,6--1,6--2,6--5,7--2,8--7,8--8,9--8,10--1,10--8,11--4,11--6,11--8,11--11,12--2,12--3,12--4,13--6,13--12,13--13,14--8,14--9,14--11,14--14,15--5,15--12,16--2,16--5,16--8,16--14,17--6,17--10,17--17,18--2,18--18,19--9,19--10,,16--2,16--5,16--8,16--14,17--6,17--10,17--17,18--2,18--18,19--9,19--10
,-574.6315386,-766.6023173,,-1237.982721,-2586.262609,-4544.68341,,,-2190.821513,-1597.300859,-2057.444405,-2128.122909,-3085.076242,-2668.826434,-2480.499577,-1204.582863,-640.114672,-2005.619263,-2509.768484,-1240.978833,-6464.102419,-2517.048035,-3108.911819,-636.1628486,-6662.112426,-713.0421944,-1258.725814,-1902.806253,-269.125841,-2211.036755,-339.2049976,-3155.868396,-3272.226841,-1275.836429,-1646.159401,-294.5155432,-4664.006254,-287.7996046,-3189.0924,-677.6948707,,-2211.036755,-339.2049976,-3155.868396,-3272.226841,-1275.836429,-1646.159401,-294.5155432,-4664.006254,-287.7996046,-3189.0924,-677.6948707
,-569.713341,-748.5519752,,-1237.532595,-2558.322988,-4476.567904,,,-2163.55009,-1557.482059,-2021.442451,-2102.122424,-3051.795793,-2646.638261,-2457.483996,-1176.089016,-632.0167669,-1998.367313,-2485.561271,-1240.422607,-6384.708393,-2485.714303,-3087.028541,-626.9837241,-6593.092603,-711.9980997,-1234.952657,-1845.409686,-263.4207936,-2154.066021,-338.4737828,-3147.994524,-3220.42097,-1249.564637,-1618.273128,-294.0587548,-4496.177426,-279.6394802,-3144.259361,-669.0300797,,-2154.066021,-338.4737828,-3147.994524,-3220.42097,-1249.564637,-1618.273128,-294.0587548,-4496.177426,-279.6394802,-3144.259361,-669.0300797
,-563.6347111,-733.6213238,,-1236.871356,-2556.044645,-4401.494252,,,-2135.821002,-1542.689901,-1949.833017,-2038.790155,-2995.36596,-2576.690248,-2438.940589,-1147.369948,-628.3563846,-1902.580646,-2476.059324,-1240.26907,-6289.950395,-2434.697634,-3024.051178,-620.4244946,-6518.889076,-711.243759,-1221.012139,-1815.062302,-259.0364745,-2096.927103,-337.9605133,-3084.827929,-3173.852981,-1229.12369,-1590.988103,-293.9396144,-4420.895325,-274.8574232,-3096.781345,-659.6974001,,-2096.927103,-337.9605133,-3084.827929,-3173.852981,-1229.12369,-1590.988103,-293.9396144,-4420.895325,-274.8574232,-3096.781345,-659.6974001
,-560.2430489,-724.0556015,,-1235.684075,-2504.88711,-4325.842797,,,-2118.943753,-1505.667677,-1907.069752,-2004.724675,-2972.941524,-2547.708272,-2427.266895,-1127.870437,-617.757875,-1861.135321,-2440.736539,-1239.641634,-6179.317964,-2412.998438,-3008.376882,-610.0278926,-6454.199341,-710.7370799,-1191.60463,-1772.193582,-254.4914687,-2063.924321,-337.4085328,-2992.273767,-3135.349919,-1202.691796,-1575.804169,-293.3191419,-4388.547116,-270.6198971,-3044.846378,-650.8052992,,-2063.924321,-337.4085328,-2992.273767,-3135.349919,-1202.691796,-1575.804169,-293.3191419,-4388.547116,-270.6198971,-3044.846378,-650.8052992
,-557.9573508,-717.4940152,,-1235.391887,-2484.263964,-4259.661511,,,-2100.028418,-1489.960774,-1881.49557,-1976.493306,-2889.468466,-2519.186771,-2407.280656,-1101.701111,-612.6900584,-1792.422743,-2423.648844,-1239.418766,-6069.779719,-2389.255781,-2907.883518,-603.1147306,-6379.96305,-710.1117126,-1174.801297,-1698.329716,-251.1190303,-2021.057955,-337.0688817,-2958.360478,-3080.435297,-1184.229,-1547.655684,-293.079585,-4270.988669,-270.3562066,-3013.879187,-641.5239154,,-2021.057955,-337.0688817,-2958.360478,-3080.435297,-1184.229,-1547.655684,-293.079585,-4270.988669,-270.3562066,-3013.879187,-641.5239154
,-555.3586262,-709.0551071,,-1235.13421,-2454.43627,-4198.632219,,,-2072.987973,-1474.280599,-1827.469449,-1944.682379,-2848.260527,-2493.290004,-2395.646015,-1088.839408,-601.846396,-1757.27415,-2413.687557,-1239.132552,-6007.215856,-2362.723062,-2864.495944,-600.920212,-6323.692923,-709.7428938,-1161.881073,-1667.239554,-246.815385,-1989.694843,,-2919.268425,-3038.674194,-1167.999837,-1536.463698,,-4209.934538,-264.6688117,-2972.754512,-633.5380587,,-1989.694843,,-2919.268425,-3038.674194,-1167.999837,-1536.463698,,-4209.934538,-264.6688117,-2972.754512,-633.5380587
,-553.8472964,-703.9788286,,-1234.906638,-2440.01907,-4155.198731,,,-2061.026221,-1459.163074,-1795.665377,-1921.125049,-2809.655558,-2467.773765,-2392.188021,-1057.19989,-596.3418558,-1718.360738,-2392.98498,-1239.022253,-5923.392388,-2335.672782,-2825.993933,-589.587457,-6248.514152,-709.5239314,-1145.05074,-1632.803428,-244.2844395,-1954.522233,,-2872.79614,-3008.310091,-1151.743098,-1500.223251,,-4163.77971,-264.3395088,-2902.788104,-628.8700362,,-1954.522233,,-2872.79614,-3008.310091,-1151.743098,-1500.223251,,-4163.77971,-264.3395088,-2902.788104,-628.8700362
,-552.6895995,-699.5008525,,-1234.755618,-2424.562753,-4081.503487,,,-2048.129679,-1457.798457,-1773.272001,-1897.291641,-2791.058597,-2446.805484,-2374.772657,-1041.110521,-590.5968922,-1674.586172,-2381.413045,-1238.921818,-5863.381016,-2329.639071,-2813.039823,-584.1414073,-6194.683221,-709.1763997,-1133.547397,-1593.596557,-239.2403643,-1917.184526,,-2818.836539,-2953.472634,-1138.974261,-1483.410614,,-4094.218558,-254.8221562,-2870.292446,-617.5687208,,-1917.184526,,-2818.836539,-2953.472634,-1138.974261,-1483.410614,,-4094.218558,-254.8221562,-2870.292446,-617.5687208
,,-697.2225576,,-1234.654254,-2407.867706,-4032.097341,,,-2034.052315,-1448.903029,-1737.325789,-1878.892641,-2740.833229,-2431.357949,-2366.980883,-1025.821626,-584.8750948,-1633.69767,-2372.009229,,-5796.646853,-2291.301707,-2757.471893,,-6133.919625,-708.9909593,-1122.672837,-1552.801083,-236.3191271,-1908.588197,,-2766.168527,-2915.286185,-1126.328244,-1467.722609,,-4046.304785,-251.4968557,-2833.152867,-610.6676573,,-1908.588197,,-2766.168527,-2915.286185,-1126.328244,-1467.722609,,-4046.304785,-251.4968557,-2833.152867,-610.6676573
,,-693.4647412,,,-2392.046812,-4020.614377,,,-2019.905673,-1420.821053,-1714.26957,-1858.934173,-2717.463778,-2408.118848,-2366.310542,-1015.499514,-584.515582,-1602.935754,-2361.333328,,-5726.941193,-2280.202529,-2735.023319,,-6067.978977,-708.8750457,-1117.312504,-1544.796069,-233.3160503,-1894.297638,,-2736.433006,-2886.409883,-1118.048922,-1457.768578,,-3999.013436,-248.8851094,-2789.33055,-610.1596745,,-1894.297638,,-2736.433006,-2886.409883,-1118.048922,-1457.768578,,-3999.013436,-248.8851094,-2789.33055,-610.1596745
