0,1,2,3,4,5
9,2,0.581299101714,100.0,-10260.9135083,83.424362385
9,3,0.535239051344,,,
9,4,0.499101790868,,,
9,5,0.593748435996,100.0,-86823.3024118,-1388.84053708
9,6,0.438501909716,,,
9,7,0.593899264398,100.0,-inf,-inf
9,8,0.546075708877,,,
9,2,0.581299101714,100.0,-10260.9135083,83.424362385
9,3,0.535239051344,,,
9,4,0.499101790868,,,
9,5,0.593748435996,100.0,-86823.3024118,-1388.84053708
9,6,0.438501909716,,,
9,7,0.593899264398,100.0,-inf,-inf
9,8,0.546075708877,,,
9,2,0.581299101714,100.0,-10260.9135083,83.424362385
9,3,0.535239051344,,,
9,4,0.499101790868,,,
9,5,0.593748435996,100.0,-86823.3024118,-1388.84053708
9,6,0.438501909716,,,
9,7,0.593899264398,100.0,-inf,-inf
9,8,0.546075708877,,,
9,2,0.581299101714,100.0,-10260.9135083,83.424362385
9,3,0.535239051344,,,
9,4,0.499101790868,,,
9,5,0.593748435996,100.0,-86823.3024118,-1388.84053708
9,6,0.438501909716,,,
9,7,0.593899264398,100.0,-inf,-inf
9,8,0.546075708877,,,
9,2,0.581299101714,100.0,-10260.9135083,83.424362385
9,3,0.535239051344,,,
9,4,0.499101790868,,,
9,5,0.593748435996,100.0,-86823.3024118,-1388.84053708
9,6,0.438501909716,,,
9,7,0.593899264398,100.0,-inf,-inf
9,8,0.546075708877,,,
9,2,0.581299101714,100.0,-10260.9135083,83.424362385
9,3,0.535239051344,,,
9,4,0.499101790868,,,
9,5,0.593748435996,100.0,-86823.3024118,-1388.84053708
9,6,0.438501909716,,,
9,7,0.593899264398,100.0,-inf,-inf
9,8,0.546075708877,,,
9,2,0.581299101714,100.0,-10260.9135083,83.424362385
9,3,0.535239051344,,,
9,4,0.499101790868,,,
9,5,0.593748435996,100.0,-86823.3024118,-1388.84053708
9,6,0.438501909716,,,
9,7,0.593899264398,100.0,-inf,-inf
9,8,0.546075708877,,,
9,2,0.581299101714,100.0,-10260.9135083,83.424362385
9,3,0.535239051344,,,
9,4,0.499101790868,,,
9,5,0.593748435996,100.0,-86823.3024118,-1388.84053708
9,6,0.438501909716,,,
9,7,0.593899264398,100.0,-inf,-inf
9,8,0.546075708877,,,
9,2,0.581299101714,100.0,-10260.9135083,83.424362385
9,3,0.535239051344,,,
9,4,0.499101790868,,,
9,5,0.593748435996,100.0,-86823.3024118,-1388.84053708
9,6,0.438501909716,,,
9,7,0.593899264398,100.0,-inf,-inf
9,8,0.546075708877,,,
10,1,0.56939896764,,,
10,2,0.601925782135,,,
10,4,0.456241145224,100.0,-30669.0129112,-2102.30172824
10,5,0.308488496926,,,
10,6,0.531378979164,100.0,-10179.4909964,-93.9693823489
10,7,0.486951105957,100.0,-inf,-inf
10,8,0.445882418451,,,
10,9,0.490742194919,100.0,-1553.64705882,1.30597448304
10,1,0.56939896764,,,
10,2,0.601925782135,,,
10,4,0.456241145224,100.0,-30669.0129112,-2102.30172824
10,5,0.308488496926,,,
10,6,0.531378979164,100.0,-10179.4909964,-93.9693823489
10,7,0.486951105957,100.0,-inf,-inf
10,8,0.445882418451,,,
10,9,0.490742194919,100.0,-1553.64705882,1.30597448304
10,1,0.56939896764,,,
10,2,0.601925782135,,,
10,4,0.456241145224,100.0,-30669.0129112,-2102.30172824
10,5,0.308488496926,,,
10,6,0.531378979164,100.0,-10179.4909964,-93.9693823489
10,7,0.486951105957,100.0,-inf,-inf
10,8,0.445882418451,,,
10,9,0.490742194919,100.0,-1553.64705882,1.30597448304
10,1,0.56939896764,,,
10,2,0.601925782135,,,
10,4,0.456241145224,100.0,-30669.0129112,-2102.30172824
10,5,0.308488496926,,,
10,6,0.531378979164,100.0,-10179.4909964,-93.9693823489
10,7,0.486951105957,100.0,-inf,-inf
10,8,0.445882418451,,,
10,9,0.490742194919,100.0,-1553.64705882,1.30597448304
10,1,0.56939896764,,,
10,2,0.601925782135,,,
10,4,0.456241145224,100.0,-30669.0129112,-2102.30172824
10,5,0.308488496926,,,
10,6,0.531378979164,100.0,-10179.4909964,-93.9693823489
10,7,0.486951105957,100.0,-inf,-inf
10,8,0.445882418451,,,
10,9,0.490742194919,100.0,-1553.64705882,1.30597448304
10,1,0.56939896764,,,
10,2,0.601925782135,,,
10,4,0.456241145224,100.0,-30669.0129112,-2102.30172824
10,5,0.308488496926,,,
10,6,0.531378979164,100.0,-10179.4909964,-93.9693823489
10,7,0.486951105957,100.0,-inf,-inf
10,8,0.445882418451,,,
10,9,0.490742194919,100.0,-1553.64705882,1.30597448304
10,1,0.56939896764,,,
10,2,0.601925782135,,,
10,4,0.456241145224,100.0,-30669.0129112,-2102.30172824
10,5,0.308488496926,,,
10,6,0.531378979164,100.0,-10179.4909964,-93.9693823489
10,7,0.486951105957,100.0,-inf,-inf
10,8,0.445882418451,,,
10,9,0.490742194919,100.0,-1553.64705882,1.30597448304
10,1,0.56939896764,,,
10,2,0.601925782135,,,
10,4,0.456241145224,100.0,-30669.0129112,-2102.30172824
10,5,0.308488496926,,,
10,6,0.531378979164,100.0,-10179.4909964,-93.9693823489
10,7,0.486951105957,100.0,-inf,-inf
10,8,0.445882418451,,,
10,9,0.490742194919,100.0,-1553.64705882,1.30597448304
10,1,0.56939896764,,,
10,2,0.601925782135,,,
10,4,0.456241145224,100.0,-30669.0129112,-2102.30172824
10,5,0.308488496926,,,
10,6,0.531378979164,100.0,-10179.4909964,-93.9693823489
10,7,0.486951105957,100.0,-inf,-inf
10,8,0.445882418451,,,
10,9,0.490742194919,100.0,-1553.64705882,1.30597448304
10,1,0.56939896764,,,
10,2,0.601925782135,,,
10,4,0.456241145224,100.0,-30669.0129112,-2102.30172824
10,5,0.308488496926,,,
10,6,0.531378979164,100.0,-10179.4909964,-93.9693823489
10,7,0.486951105957,100.0,-inf,-inf
10,8,0.445882418451,,,
10,9,0.490742194919,100.0,-1553.64705882,1.30597448304
11,1,0.417123248141,100.0,-280950.0,-8370.70673023
11,2,0.476878894976,100.0,-4954.3996203,-4.70629267301
11,4,0.607256147875,,,
11,5,0.51747895481,,,
11,6,0.586656078327,,,
11,7,0.521413283507,,,
11,8,0.567842133005,,,
11,9,0.497672408461,100.0,-30657.026239,-1367.11883743
11,10,0.458386803039,100.0,-8383.07509411,-638.958047643
11,11,0.54403769224,100.0,-inf,-inf
11,1,0.417123248141,100.0,-280950.0,-8370.70673023
11,2,0.476878894976,100.0,-4954.3996203,-4.70629267301
11,4,0.607256147875,,,
11,5,0.51747895481,,,
11,6,0.586656078327,,,
11,7,0.521413283507,,,
11,8,0.567842133005,,,
11,9,0.497672408461,100.0,-30657.026239,-1367.11883743
11,10,0.458386803039,100.0,-8383.07509411,-638.958047643
11,11,0.54403769224,100.0,-inf,-inf
11,1,0.417123248141,100.0,-280950.0,-8370.70673023
11,2,0.476878894976,100.0,-4954.3996203,-4.70629267301
11,4,0.607256147875,,,
11,5,0.51747895481,,,
11,6,0.586656078327,,,
11,7,0.521413283507,,,
11,8,0.567842133005,,,
11,9,0.497672408461,100.0,-30657.026239,-1367.11883743
11,10,0.458386803039,100.0,-8383.07509411,-638.958047643
11,11,0.54403769224,100.0,-inf,-inf
11,1,0.417123248141,100.0,-280950.0,-8370.70673023
11,2,0.476878894976,100.0,-4954.3996203,-4.70629267301
11,4,0.607256147875,,,
11,5,0.51747895481,,,
11,6,0.586656078327,,,
11,7,0.521413283507,,,
11,8,0.567842133005,,,
11,9,0.497672408461,100.0,-30657.026239,-1367.11883743
11,10,0.458386803039,100.0,-8383.07509411,-638.958047643
11,11,0.54403769224,100.0,-inf,-inf
11,1,0.417123248141,100.0,-280950.0,-8370.70673023
11,2,0.476878894976,100.0,-4954.3996203,-4.70629267301
11,4,0.607256147875,,,
11,5,0.51747895481,,,
11,6,0.586656078327,,,
11,7,0.521413283507,,,
11,8,0.567842133005,,,
11,9,0.497672408461,100.0,-30657.026239,-1367.11883743
11,10,0.458386803039,100.0,-8383.07509411,-638.958047643
11,11,0.54403769224,100.0,-inf,-inf
11,1,0.417123248141,100.0,-280950.0,-8370.70673023
11,2,0.476878894976,100.0,-4954.3996203,-4.70629267301
11,4,0.607256147875,,,
11,5,0.51747895481,,,
11,6,0.586656078327,,,
11,7,0.521413283507,,,
